INDEX,Name,Estado,Municipio,geometry,SpotType
0,Polanco,CDMX,Miguel HIdalgo,"POLYGON Z ((-99.20883811473297 19.44845458510508 2260.994304000407, -99.21957218170846 19.45562832902964 2284.612016472355, -99.22002168709557 19.44673529991596 2283.153846714445, -99.21163144266319 19.43459535454001 2283.353373421191, -99.19399596301422 19.42188295464473 2258.346634468805, -99.18170988498883 19.42980049172876 2251.053408402231, -99.17766084832797 19.42414417101398 2251.094454828686, -99.17151376150623 19.43291380590219 2241.414390865809, -99.18530987598083 19.44012353633437 2251.08764111526, -99.19711205030706 19.44404691934607 2260.929435183511, -99.20883811473297 19.44845458510508 2260.994304000407))",Retail
1,Lomas de Chapultepec,CDMX,Miguel HIdalgo,"POLYGON Z ((-99.22945981245516 19.4226369659499 2328.868211223172, -99.23538547105672 19.41051349405512 2398.587690315664, -99.21714485763026 19.40108967375248 2353.167443342409, -99.1927623044323 19.41222542806872 2283.689276908959, -99.1962301580022 19.42172971148181 2268.537858848955, -99.21218887773044 19.43365583887589 2281.896894269972, -99.22945981245516 19.4226369659499 2328.868211223172))",Retail
2,Condesa,CDMX,Cuauhtémoc,"POLYGON Z ((-99.16320219976114 19.42354864078408 2235.849722969945, -99.17781154009617 19.4205952227099 2240.757810340895, -99.180502516463 19.41636290998632 2242.616967742663, -99.19064617288525 19.41241601075012 2256.955498913119, -99.184010375417 19.40966668496774 2248.586383887491, -99.18408471093092 19.40776420645093 2248.888650226376, -99.16958576483773 19.40359745434539 2240.767674490371, -99.16320219976114 19.42354864078408 2235.849722969945))",Retail
3,Roma,CDMX,Cuauhtémoc,"POLYGON Z ((-99.17020722449155 19.40021406978979 2240.769010021728, -99.15650259547455 19.40432157571539 2235.626333355812, -99.15527973567345 19.40432203165484 2235.820865472386, -99.15381221903696 19.4256418527957 2230.882564308311, -99.16261726251675 19.42378975829987 2235.860823775342, -99.17020722449155 19.40021406978979 2240.769010021728))",Retail
4,Santa Fe,CDMX,Cuajimalpa de Morelos,"POLYGON Z ((-99.22563147114158 19.38802704840676 2362.878590187654, -99.23917960226765 19.3838605533147 2429.731100675136, -99.24999501773475 19.38091870141056 2462.437234602299, -99.26380949231074 19.37339703091514 2539.516014072309, -99.26646141818301 19.36371106468156 2582.198126545487, -99.26087647753742 19.36073618189819 2578.510331082155, -99.25923899781141 19.35243669217094 2553.557487086156, -99.25808277867142 19.34659289603476 2566.589937278699, -99.23840138067881 19.35066708138356 2457.810399992481, -99.2166592464435 19.35909817284876 2339.190337423428, -99.21910736105116 19.36699681723895 2379.588407395052, -99.20450938494935 19.3725986206456 2335.526945976153, -99.19972669079044 19.38088800227763 2290.655835239105, -99.19916207654391 19.3864190777385 2321.520145151421, -99.20216783946157 19.39048934997037 2344.17641230227, -99.20697914177038 19.39104363270359 2351.908259486724, -99.21554966126936 19.38928192254393 2363.288464502798, -99.22563147114158 19.38802704840676 2362.878590187654))",Retail
5,Coyoacán,CDMX,Coyoacán,"POLYGON Z ((-99.1797346744478 19.35017723585102 2261.230753914507, -99.1787849783454 19.34659464752221 2259.362540881508, -99.14883329490512 19.34297916446716 2245.704983497865, -99.15330155805582 19.357776338166 2245.736657882925, -99.16842963175702 19.35895518121597 2243.008042069525, -99.17198646186708 19.35725365463597 2255.624108985544, -99.1797346744478 19.35017723585102 2261.230753914507))",Retail
6,Centro,CDMX,Cuauhtémoc,"POLYGON Z ((-99.12578957748177 19.42270351574688 2230.88153318241, -99.12287107169354 19.44270118354527 2230.867643543404, -99.13900325108169 19.44409368801109 2230.886938364378, -99.14941114130279 19.43552935011805 2230.89282147116, -99.15347310185325 19.42595197250924 2230.882468639883, -99.12578957748177 19.42270351574688 2230.88153318241))",Retail
7,Del Valle,CDMX,Benito Juarez,"POLYGON Z ((-99.18042940614839 19.36917740506876 2260.55895141775, -99.16777693768736 19.36635258347705 2250.651412811487, -99.15921550898716 19.37930638927287 2244.735361958881, -99.16164960314154 19.38748300180665 2240.774222398436, -99.16339955411475 19.38928449746703 2240.784708481104, -99.16169517289539 19.39638189322645 2235.824273160913, -99.1708363318016 19.39828319909491 2240.804404978759, -99.18042940614839 19.36917740506876 2260.55895141775))",Retail
8,Pedregal,CDMX,Álvaro Ogregón,"POLYGON Z ((-99.21303487739512 19.32607254209015 2355.779885240178, -99.21835735119507 19.32246626870033 2379.672613954769, -99.22124627349102 19.31959058283151 2385.749098888277, -99.22038940269006 19.31374409542374 2402.697779242917, -99.21805380234943 19.310645287586 2399.426690658344, -99.21642546801708 19.30845886208745 2395.4613563952, -99.21375036535666 19.30739563937752 2394.943134113953, -99.20148683178711 19.30451795148919 2369.72210695103, -99.19941929912817 19.30352565900071 2364.433484222515, -99.19746882772073 19.30971473925895 2357.651348951293, -99.1942363806527 19.33034454627222 2306.046596951485, -99.19857512350862 19.33314627136571 2314.950669227789, -99.20909950545742 19.33256540799383 2339.308319901962, -99.21303487739512 19.32607254209015 2355.779885240178))",Retail
9,Satélite,Edo Mex,Naucalpan de Juarez,"POLYGON Z ((-99.23873521510826 19.52175965411104 2318.041799293245, -99.24914857764071 19.51821638372946 2323.909311878699, -99.25558510761626 19.5196496380434 2316.389914849289, -99.25578478611477 19.51498731623314 2340.093910349971, -99.26145372141482 19.51154114503353 2369.363057801005, -99.26093828879453 19.50899605720786 2371.795553205584, -99.2554998809818 19.50497047048599 2368.140917982038, -99.25128455123233 19.5024240450926 2342.333444989808, -99.24950204036824 19.49757557426605 2302.304930853816, -99.23702184771993 19.49921050928808 2279.486813481212, -99.23694334773644 19.49116442368142 2260.957381738038, -99.22178657996972 19.5024347721388 2260.882565175848, -99.22238852925567 19.50688922156069 2262.10602102949, -99.22911481367414 19.51374701451335 2275.338735154401, -99.2297740274211 19.5193767725157 2288.560332617121, -99.23873521510826 19.52175965411104 2318.041799293245))",Retail
